word,count,frequency_rank,train_count,standard_frequency_rank
哟,6,620,4,683
唯一,6,621,6,459
啦,6,622,2,1245
喔,6,623,4,689
喝酒,6,624,6,461
四十,6,625,4,695
四点,6,626,6,463
回声,6,627,6,464
回忆,6,628,6,465
地理,6,629,4,700
地理书,6,630,6,466
大家,6,631,4,707
大臣,6,632,6,469
天文学家,6,633,6,470
头发,6,634,4,709
她们,6,635,6,471
宇宙,6,636,4,716
富有,6,637,6,476
小东西,6,638,6,477
小小的,6,639,2,1361
小男孩,6,640,4,723
居住,6,641,2,1370
带走,6,642,6,480
帮助,6,643,4,730
干什么,6,644,6,481
平静,6,645,2,1393
应,6,646,6,482
建立,6,647,6,485
当真,6,648,2,1412
很小,6,649,2,1421
忽然,6,650,4,740
怀里,6,651,6,489
怕,6,652,4,742
总算,6,653,4,745
惊奇,6,654,6,490
惊讶,6,655,2,1465
惨,6,656,2,1466
想着,6,657,6,491
感情,6,658,6,493
担心,6,659,6,496
拍,6,660,6,498
拔掉,6,661,0,
拴住,6,662,0,
旅客,6,663,6,499
无法,6,664,6,500
既,6,665,2,1583
日子,6,666,6,502
是不是,6,667,6,504
显得,6,668,4,771
最先,6,669,4,774
有用,6,670,4,777
极其,6,671,4,784
椅子,6,672,4,788
死亡,6,673,4,793
每个,6,674,6,511
每星期,6,675,6,513
气,6,676,6,515
水桶,6,677,0,
河流,6,678,6,516
法国,6,679,6,517
活火山,6,680,2,1679
浇水,6,681,4,799
满意,6,682,6,518
灯火通明,6,683,6,519
爪子,6,684,4,810
犹豫,6,685,4,812
用心,6,686,4,816
用来,6,687,6,520
白天,6,688,0,
皮,6,689,6,521
相信,6,690,6,522
真正,6,691,4,822
眼看,6,692,6,524
眼里,6,693,6,525
睡着,6,694,4,823
石墙,6,695,6,527
神秘,6,696,4,825
稍稍,6,697,4,827
笔直,6,698,2,1814
简单,6,699,4,831
老先生,6,700,6,534
而是,6,701,4,848
脚步声,6,702,6,536
臣民,6,703,6,537
花,6,704,6,539
花瓣,6,705,6,540
草,6,706,4,860
行,6,707,6,542
要命,6,708,0,
要紧,6,709,2,1938
观察,6,710,6,543
解释,6,711,6,544
计算,6,712,6,545
认出,6,713,2,1945
记住,6,714,6,546
访问,6,715,6,547
负责,6,716,4,877
跟前,6,717,2,1991
跳,6,718,4,883
身上,6,719,6,548
身子,6,720,4,885
身边,6,721,0,
轰鸣,6,722,6,549
轻轻地,6,723,2,2004
迷了路,6,724,2,2025
那天,6,725,2,2039
那年,6,726,4,894
重,6,727,6,553
重复,6,728,6,554
钟,6,729,6,556
铅笔,6,730,6,557
阳光,6,731,4,906
随即,6,732,6,559
非洲,6,733,4,911
颜色,6,734,6,560
风障,6,735,6,561
马上,6,736,4,913
骄傲,6,737,4,915
麦田,6,738,6,563
不想,5,739,3,920
从来,5,740,2,1067
办法,5,741,0,
可不,5,742,5,565
总是,5,743,5,568
才能,5,744,5,569
指,5,745,5,570
柔,5,746,3,934
没工夫,5,747,5,571
说完,5,748,5,573
远离,5,749,0,
难,5,750,5,575
〇,4,751,4,576
一下子,4,752,2,947
一列,4,753,4,578
一向,4,754,2,957
一圈,4,755,0,
一堆,4,756,4,580
一头,4,757,4,581
一层,4,758,4,582
一幢,4,759,4,584
一本正经,4,760,0,
一枝,4,761,2,965
一步,4,762,4,588
一点儿,4,763,0,
一番,4,764,2,971
一百,4,765,4,589
一般,4,766,0,
一道,4,767,4,591
七百,4,768,4,592
三,4,769,4,593
三十一,4,770,4,594
三点钟,4,771,4,595
上路,4,772,4,596
下午,4,773,4,597
不再,4,774,4,598
不准,4,775,4,599
不吃,4,776,4,600
不同于,4,777,4,601
不好,4,778,0,
不妨,4,779,4,602
不必,4,780,4,603
不怕,4,781,2,1004
不慌不忙,4,782,4,604
不用,4,783,4,605
不由得,4,784,4,606
不能,4,785,4,608
不能容忍,4,786,4,609
不错,4,787,2,1013
专制,4,788,4,611
丢,4,789,2,1019
两,4,790,4,612
中国,4,791,4,614
举,4,792,0,
久久,4,793,4,615
九,4,794,4,616
买,4,795,4,617
