word,count,frequency_rank,train_count,standard_frequency_rank
ambassadeur,1,946,1,946
amies,1,947,1,947
amour,1,948,1,948
amuse,1,949,1,949
amélioré,1,950,1,950
an,1,951,1,951
ancienne,1,952,1,952
animé,1,953,1,953
annoncer,1,954,1,954
anéantir,1,955,1,955
apaisent,1,956,1,956
apercevais,1,957,1,957
apercevoir,1,958,1,958
aperçu,1,959,1,959
aperçus,1,960,1,960
aplomb,1,961,1,961
apparaissaient,1,962,1,962
apparence,1,963,1,963
appelait,1,964,1,964
appelle,1,965,1,965
appliquer,1,966,1,966
apportée,1,967,1,967
apprenais,1,968,1,968
apprendre,1,969,1,969
apprivoiser,1,970,1,970
approche,1,971,1,971
arbres,1,972,1,972
arbuste,1,973,1,973
arizona,1,974,1,974
armure,1,975,1,975
arracha,1,976,1,976
arrivée,1,977,1,977
arrosa,1,978,1,978
arrose,1,979,1,979
arrosoir,1,980,1,980
assistait,1,981,1,981
assoit,1,982,1,982
astreindre,1,983,1,983
astronomie,1,984,1,984
astéroïdes,1,985,1,985
attaches,1,986,1,986
atteindre,1,987,1,987
atteint,1,988,1,988
attendis,1,989,1,989
attendrai,1,990,1,990
attendrir,1,991,1,991
attends,1,992,1,992
attention,1,993,1,993
attentivement,1,994,1,994
aucun,1,995,1,995
aujourd,1,996,1,996
aura,1,997,1,997
autour,1,998,1,998
autrui,1,999,1,999
auxquelles,1,1000,1,1000
auxquels,1,1001,1,1001
avalait,1,1002,1,1002
avale,1,1003,1,1003
avalent,1,1004,1,1004
avance,1,1005,1,1005
aventures,1,1006,1,1006
avertir,1,1007,1,1007
aveugles,1,1008,1,1008
avez,1,1009,1,1009
avis,1,1010,1,1010
avoua,1,1011,1,1011
avouer,1,1012,1,1012
bailler,1,1013,1,1013
baissant,1,1014,1,1014
balivernes,1,1015,1,1015
banque,1,1016,1,1016
battre,1,1017,1,1017
belles,1,1018,1,1018
ben,1,1019,1,1019
berçai,1,1020,1,1020
bientôt,1,1021,1,1021
bizarre,1,1022,1,1022
bond,1,1023,1,1023
bonté,1,1024,1,1024
bouche,1,1025,1,1025
bout,1,1026,1,1026
bouton,1,1027,1,1027
boîte,1,1028,1,1028
bredouillait,1,1029,1,1029
breveter,1,1030,1,1030
bridge,1,1031,1,1031
brillent,1,1032,1,1032
brindilles,1,1033,1,1033
briques,1,1034,1,1034
brusquerie,1,1035,1,1035
brûlent,1,1036,1,1036
bu,1,1037,1,1037
but,1,1038,1,1038
buvant,1,1039,1,1039
bâillant,1,1040,1,1040
bâille,1,1041,1,1041
bâillements,1,1042,1,1042
bélier,1,1043,1,1043
bénie,1,1044,1,1044
cachait,1,1045,1,1045
caisses,1,1046,1,1046
calculs,1,1047,1,1047
calendrier,1,1048,1,1048
calme,1,1049,1,1049
camarades,1,1050,1,1050
cambouis,1,1051,1,1051
capable,1,1052,1,1052
carabine,1,1053,1,1053
carreaux,1,1054,1,1054
carrosse,1,1055,1,1055
cassé,1,1056,1,1056
catastrophe,1,1057,1,1057
causent,1,1058,1,1058
centaines,1,1059,1,1059
certain,1,1060,1,1060
certains,1,1061,1,1061
cessa,1,1062,1,1062
ceux,1,1063,1,1063
chambre,1,1064,1,1064
change,1,1065,1,1065
changent,1,1066,1,1066
chante,1,1067,1,1067
chauffer,1,1068,1,1068
chef,1,1069,1,1069
cheminée,1,1070,1,1070
chenilles,1,1071,1,1071
chercha,1,1072,1,1072
cherchons,1,1073,1,1073
cheville,1,1074,1,1074
chine,1,1075,1,1075
choisir,1,1076,1,1076
choisissait,1,1077,1,1077
choquer,1,1078,1,1078
choux,1,1079,1,1079
ci,1,1080,1,1080
cigarette,1,1081,1,1081
clef,1,1082,1,1082
clos,1,1083,1,1083
collectionne,1,1084,1,1084
colombes,1,1085,1,1085
colère,1,1086,1,1086
commencèrent,1,1087,1,1087
commençait,1,1088,1,1088
commode,1,1089,1,1089
compliqué,1,1090,1,1090
compliquée,1,1091,1,1091
comprenais,1,1092,1,1092
comprenait,1,1093,1,1093
comprendra,1,1094,1,1094
comprenons,1,1095,1,1095
compréhensive,1,1096,1,1096
condamner,1,1097,1,1097
condamneras,1,1098,1,1098
confié,1,1099,1,1099
confonds,1,1100,1,1100
congrès,1,1101,1,1101
connaissance,1,1102,1,1102
connaissons,1,1103,1,1103
connus,1,1104,1,1104
conseillé,1,1105,1,1105
conservé,1,1106,1,1106
considérables,1,1107,1,1107
considérait,1,1108,1,1108
console,1,1109,1,1109
consoler,1,1110,1,1110
consulta,1,1111,1,1111
contacts,1,1112,1,1112
contemplation,1,1113,1,1113
contenir,1,1114,1,1114
contente,1,1115,1,1115
contents,1,1116,1,1116
contes,1,1117,1,1117
contradictoires,1,1118,1,1118
contraire,1,1119,1,1119
convaincues,1,1120,1,1120
copie,1,1121,1,1121
coquelicots,1,1122,1,1122
coquette,1,1123,1,1123
coulait,1,1124,1,1124
couler,1,1125,1,1125
couramment,1,1126,1,1126
courroie,1,1127,1,1127
cours,1,1128,1,1128
course,1,1129,1,1129
courte,1,1130,1,1130
courus,1,1131,1,1131
craindre,1,1132,1,1132
cramoisi,1,1133,1,1133
cravates,1,1134,1,1134
crayon,1,1135,1,1135
crayonnai,1,1136,1,1136
crayons,1,1137,1,1137
creusés,1,1138,1,1138
cria,1,1139,1,1139
crier,1,1140,1,1140
crise,1,1141,1,1141
croire,1,1142,1,1142
croiront,1,1143,1,1143
croyais,1,1144,1,1144
croître,1,1145,1,1145
cru,1,1146,1,1146
crépuscule,1,1147,1,1147
cuir,1,1148,1,1148
cultivent,1,1149,1,1149
curieuse,1,1150,1,1150
curiosités,1,1151,1,1151
dangereux,1,1152,1,1152
dansaient,1,1153,1,1153
dedans,1,1154,1,1154
dehors,1,1155,1,1155
demandai,1,1156,1,1156
demandent,1,1157,1,1157
demander,1,1158,1,1158
