word,count,frequency_rank,train_count,standard_frequency_rank
sens,2,987,1,1826
sentait,2,988,2,823
sentiment,2,989,2,824
serai,2,990,1,1828
serais,2,991,1,1829
servi,2,992,2,825
servir,2,993,2,826
seules,2,994,1,1833
simples,2,995,2,828
sinon,2,996,1,1837
sire,2,997,2,829
soigneusement,2,998,2,830
soixante,2,999,1,1843
sommes,2,1000,1,1846
sorti,2,1001,1,1850
sortis,2,1002,2,831
soucieux,2,1003,2,832
soudain,2,1004,1,1855
soulevant,2,1005,2,833
soupir,2,1006,2,834
sourit,2,1007,2,835
sud,2,1008,0,
sujet,2,1009,2,838
surtout,2,1010,2,839
sûrement,2,1011,2,840
tenaient,2,1012,1,1881
tenir,2,1013,1,1884
terribles,2,1014,2,841
timidement,2,1015,2,842
tomba,2,1016,2,843
tombe,2,1017,2,844
tonnerre,2,1018,0,
tranquille,2,1019,2,845
travaillé,2,1020,2,846
travers,2,1021,1,1911
trembler,2,1022,1,1915
trouva,2,1023,2,848
trouves,2,1024,2,850
trouvé,2,1025,2,851
turc,2,1026,2,852
turent,2,1027,0,
tut,2,1028,1,1924
tâche,2,1029,2,853
télescope,2,1030,2,854
univers,2,1031,1,1927
uns,2,1032,2,855
venin,2,1033,2,856
venir,2,1034,2,857
verras,2,1035,2,858
verre,2,1036,2,859
vides,2,1037,1,1941
vieille,2,1038,2,860
visiter,2,1039,1,1951
voient,2,1040,0,
voulut,2,1041,2,866
voyagent,2,1042,2,867
voyageurs,2,1043,0,
voyait,2,1044,1,1963
vécu,2,1045,2,868
véritablement,2,1046,2,869
«bonjour»,2,1047,0,
«d,2,1048,0,
«elle,2,1049,0,
«je,2,1050,0,
«ma,2,1051,0,
«vous,2,1052,0,
ç,2,1053,2,870
éclat,2,1054,2,871
écorce,2,1055,2,872
égaré,2,1056,2,873
éléphants,2,1057,2,874
épaules,2,1058,2,875
éprouve,2,1059,2,876
éruptions,2,1060,2,877
éteignaient,2,1061,2,879
éteignit,2,1062,2,880
éteints,2,1063,0,
-chose,1,1064,1,882
-confidence,1,1065,1,883
-d,1,1066,1,884
-dedans,1,1067,0,
-douze,1,1068,1,886
-en,1,1069,1,887
-haut,1,1070,1,888
-huit,1,1071,1,889
-ils,1,1072,0,
-midi,1,1073,0,
-nez,1,1074,1,890
-six,1,1075,1,891
-sourire,1,1076,1,892
-toi,1,1077,1,893
-unis,1,1078,1,894
-zélande,1,1079,0,
1909,1,1080,1,896
1920,1,1081,1,897
325,1,1082,1,898
3251,1,1083,1,899
326,1,1084,1,900
327,1,1085,1,901
328,1,1086,1,902
329,1,1087,1,903
330,1,1088,1,904
abaissai,1,1089,1,905
abandonné,1,1090,1,906
abeilles,1,1091,1,907
aborda,1,1092,1,908
abritée,1,1093,0,
absence,1,1094,1,909
absolument,1,1095,0,
abîme,1,1096,1,910
acclame,1,1097,1,911
accord,1,1098,1,912
acheter,1,1099,1,913
acheté,1,1100,1,914
acheva,1,1101,1,915
achevé,1,1102,1,916
achètent,1,1103,0,
actes,1,1104,1,917
addition,1,1105,1,918
adieu»,1,1106,0,
admirateur,1,1107,1,919
admirateurs,1,1108,1,920
admiration,1,1109,1,921
admires,1,1110,1,922
adorent,1,1111,0,
agacé,1,1112,1,923
agaçant,1,1113,1,924
agissait,1,1114,1,925
agisse,1,1115,1,926
agitent,1,1116,1,927
agiterai,1,1117,0,
aies,1,1118,1,929
aiguillage,1,1119,0,
aiguilles,1,1120,0,
aiguisées,1,1121,0,
aille,1,1122,1,930
aima,1,1123,1,931
aiment,1,1124,1,932
aimer,1,1125,1,933
aimerai,1,1126,0,
aimeras,1,1127,1,934
aimez,1,1128,1,935
aisément,1,1129,0,
ait,1,1130,0,
ajoutai,1,1131,1,936
ajoutais,1,1132,1,937
ajouter,1,1133,1,938
ajouté,1,1134,1,939
ajustait,1,1135,1,940
aliment,1,1136,1,941
allaient,1,1137,0,
allais,1,1138,1,942
allait,1,1139,1,943
allumais,1,1140,1,944
allumé,1,1141,0,
allé,1,1142,1,945
ambassadeur,1,1143,1,946
amies,1,1144,1,947
amour,1,1145,1,948
amuse,1,1146,1,949
amélioré,1,1147,1,950
ancienne,1,1148,1,952
animé,1,1149,1,953
anneau,1,1150,0,
annoncer,1,1151,1,954
anéantir,1,1152,1,955
apaisent,1,1153,1,956
apercevais,1,1154,1,957
apercevoir,1,1155,1,958
apercevrai,1,1156,0,
aperçu,1,1157,1,959
aplomb,1,1158,1,961
apparaissaient,1,1159,1,962
apparence,1,1160,1,963
apparut,1,1161,0,
appelait,1,1162,1,964
appelle,1,1163,1,965
appellera,1,1164,0,
appliquer,1,1165,1,966
apportée,1,1166,1,967
apprenais,1,1167,1,968
apprendre,1,1168,1,969
apprivoisa,1,1169,0,
apprivoisées,1,1170,0,
approche,1,1171,1,971
arbres,1,1172,1,972
arbuste,1,1173,1,973
arizona,1,1174,1,974
armure,1,1175,1,975
arracha,1,1176,1,976
arriva,1,1177,0,
arrivaient,1,1178,0,
arrive,1,1179,0,
arrivent,1,1180,0,
arrivée,1,1181,1,977
arrosa,1,1182,1,978
arrose,1,1183,1,979
arrosoir,1,1184,1,980
arrosée,1,1185,0,
ascension,1,1186,0,
assistait,1,1187,1,981
assoiras,1,1188,0,
assoit,1,1189,1,982
astreindre,1,1190,1,983
astronomie,1,1191,1,984
astéroïdes,1,1192,1,985
attaches,1,1193,1,986
atteindre,1,1194,1,987
atteint,1,1195,1,988
attend,1,1196,0,
attendis,1,1197,1,989
attendrai,1,1198,1,990
attendrir,1,1199,1,991
attends,1,1200,1,992
attention,1,1201,1,993
attentivement,1,1202,1,994
aucun,1,1203,1,995
aujourd,1,1204,1,996
aura,1,1205,1,997
aurons,1,1206,0,
australie,1,1207,0,
autrui,1,1208,1,999
auxquelles,1,1209,1,1000
auxquels,1,1210,1,1001
avalait,1,1211,1,1002
avale,1,1212,1,1003
avalent,1,1213,1,1004
avance,1,1214,1,1005
avancera,1,1215,0,
aventures,1,1216,1,1006
avertir,1,1217,1,1007
aveugles,1,1218,1,1008
avis,1,1219,1,1010
avoua,1,1220,1,1011
avouer,1,1221,1,1012
bailler,1,1222,1,1013
baissant,1,1223,1,1014
balivernes,1,1224,1,1015
ballet,1,1225,0,
banque,1,1226,1,1016
battre,1,1227,1,1017
ben,1,1228,1,1019
berçai,1,1229,1,1020
bientôt,1,1230,1,1021
bizarre,1,1231,1,1022
boirait,1,1232,0,
bond,1,1233,1,1023
bonheur,1,1234,0,
bonté,1,1235,1,1024
bouche,1,1236,1,1025
bout,1,1237,1,1026
bouton,1,1238,1,1027
boîte,1,1239,1,1028
bracelet,1,1240,0,
bredouillait,1,1241,1,1029
breveter,1,1242,1,1030
bridge,1,1243,1,1031
brillent,1,1244,1,1032
brindilles,1,1245,1,1033
briques,1,1246,1,1034
brusquerie,1,1247,1,1035
brûlent,1,1248,1,1036
bu,1,1249,1,1037
bureau,1,1250,0,
businessmen,1,1251,0,
but,1,1252,1,1038
buvant,1,1253,1,1039
bâillant,1,1254,1,1040
bâille,1,1255,1,1041
bâillements,1,1256,1,1042
bâillent,1,1257,0,
bélier,1,1258,1,1043
bénie,1,1259,1,1044
bête,1,1260,0,
cabine,1,1261,0,
cachait,1,1262,1,1045
caisses,1,1263,1,1046
calculs,1,1264,1,1047
calendrier,1,1265,1,1048
calme,1,1266,1,1049
camarades,1,1267,1,1050
cambouis,1,1268,1,1051
capable,1,1269,1,1052
